epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.996,1.13469,1.43217,1.23582,0.64842,0.52239,0.61207,0.45372,1.0793,1.124,1.12858,8.33e-06,8.33e-06,8.33e-06
2,426.559,1.10903,1.34005,1.23707,0.67445,0.5513,0.62789,0.46804,1.07202,1.09249,1.12207,1.74966e-05,1.74966e-05,1.74966e-05
3,970.813,1.19331,1.38564,1.23461,0.67997,0.57406,0.6431,0.47983,1.06361,1.0699,1.11733,2.62861e-05,2.62861e-05,2.62861e-05
4,1504.03,1.1582,1.29934,1.21662,0.66326,0.60091,0.66385,0.49259,1.05932,1.04777,1.11183,3.46987e-05,3.46987e-05,3.46987e-05
5,2030.09,1.1063,1.23152,1.20481,0.64643,0.6373,0.674,0.50381,1.05045,1.02126,1.1072,4.27343e-05,4.27343e-05,4.27343e-05
6,2556.78,1.11878,1.2307,1.20297,0.67339,0.6297,0.68763,0.51953,1.04005,0.99507,1.09954,5.03929e-05,5.03929e-05,5.03929e-05
7,3173.47,1.08584,1.16413,1.17251,0.76629,0.60736,0.69873,0.52794,1.03482,0.97208,1.09706,5.76745e-05,5.76745e-05,5.76745e-05
8,3710.32,1.10879,1.16087,1.18304,0.79655,0.60886,0.71274,0.53564,1.02682,0.94711,1.09031,6.45792e-05,6.45792e-05,6.45792e-05
9,4239.08,1.08936,1.16253,1.17604,0.83128,0.62772,0.72883,0.55024,1.00877,0.91525,1.08107,7.11068e-05,7.11068e-05,7.11068e-05
10,4769.48,1.0975,1.14275,1.17804,0.84469,0.62165,0.7437,0.55973,0.99768,0.89074,1.07422,7.72574e-05,7.72574e-05,7.72574e-05
11,5298.97,1.07503,1.11035,1.15692,0.82599,0.64227,0.76558,0.57518,0.99436,0.87075,1.06768,8.30311e-05,8.30311e-05,8.30311e-05
12,5828.72,1.03171,1.01591,1.14164,0.70274,0.71888,0.77196,0.5851,0.98982,0.85558,1.06361,8.84277e-05,8.84277e-05,8.84277e-05
13,6358.14,1.02668,1.01348,1.14015,0.75079,0.70049,0.77699,0.59473,0.98258,0.83401,1.05817,9.07256e-05,9.07256e-05,9.07256e-05
14,6885.38,1.01756,1.02141,1.15908,0.78358,0.68584,0.78821,0.60661,0.96806,0.81107,1.05016,8.83694e-05,8.83694e-05,8.83694e-05
15,7413.28,1.02927,1.05433,1.13924,0.74365,0.71197,0.79135,0.60993,0.95475,0.7949,1.04427,8.60132e-05,8.60132e-05,8.60132e-05
16,7940.58,1.04196,1.03144,1.15162,0.74425,0.72473,0.79868,0.61397,0.94452,0.78238,1.0408,8.3657e-05,8.3657e-05,8.3657e-05
17,8468.83,0.98239,0.92408,1.12018,0.73446,0.75023,0.80315,0.62053,0.93599,0.77265,1.03792,8.13008e-05,8.13008e-05,8.13008e-05
18,8992.26,0.99398,0.94606,1.13438,0.72964,0.75696,0.80644,0.62652,0.92787,0.76001,1.03485,7.89446e-05,7.89446e-05,7.89446e-05
19,9517.96,0.95418,0.92294,1.09362,0.76641,0.74886,0.80904,0.62813,0.91973,0.74917,1.03064,7.65884e-05,7.65884e-05,7.65884e-05
20,10041.9,0.9827,0.96797,1.12906,0.74634,0.75782,0.80989,0.62788,0.91406,0.73885,1.02696,7.42322e-05,7.42322e-05,7.42322e-05
21,10569.5,0.97617,0.91566,1.12652,0.83995,0.70381,0.8159,0.63243,0.90916,0.72845,1.02478,7.1876e-05,7.1876e-05,7.1876e-05
22,11101.1,0.99259,0.90743,1.10972,0.79154,0.7479,0.82033,0.63654,0.90133,0.72221,1.02203,6.95198e-05,6.95198e-05,6.95198e-05
23,11652,0.99703,0.92678,1.11278,0.79801,0.7498,0.82596,0.63889,0.89688,0.71369,1.01814,6.71636e-05,6.71636e-05,6.71636e-05
24,12437.5,0.98802,0.90988,1.12212,0.84797,0.72891,0.83086,0.64108,0.89112,0.70952,1.01341,6.48074e-05,6.48074e-05,6.48074e-05
25,13077.8,0.98415,0.93143,1.10091,0.84929,0.72414,0.83183,0.64538,0.88161,0.70216,1.00782,6.24512e-05,6.24512e-05,6.24512e-05
26,13680.2,0.97694,0.87966,1.11104,0.7809,0.77974,0.8326,0.64796,0.87091,0.69642,1.00277,6.0095e-05,6.0095e-05,6.0095e-05
27,14221.7,0.97698,0.93371,1.12927,0.78629,0.78631,0.83595,0.65469,0.8675,0.6899,1.00038,5.77388e-05,5.77388e-05,5.77388e-05
28,14759.4,0.95609,0.85697,1.07598,0.78468,0.77686,0.83388,0.65472,0.86495,0.68756,0.99932,5.53826e-05,5.53826e-05,5.53826e-05
29,15339.3,0.92727,0.87523,1.0845,0.78579,0.79758,0.83623,0.66077,0.86155,0.68323,0.99679,5.30264e-05,5.30264e-05,5.30264e-05
30,15865.8,0.9223,0.85671,1.09181,0.80471,0.79407,0.83502,0.66024,0.85734,0.67611,0.99395,5.06702e-05,5.06702e-05,5.06702e-05
31,16394.7,0.98753,0.88402,1.10475,0.80531,0.78892,0.83688,0.66409,0.85239,0.6688,0.9907,4.8314e-05,4.8314e-05,4.8314e-05
32,16924,0.97813,0.85929,1.08502,0.81034,0.7877,0.83913,0.66506,0.84797,0.6614,0.98874,4.59578e-05,4.59578e-05,4.59578e-05
33,17451.4,0.95377,0.85659,1.08153,0.81086,0.7864,0.84004,0.66938,0.84458,0.65847,0.98679,4.36016e-05,4.36016e-05,4.36016e-05
34,17794.7,0.99195,0.86952,1.10362,0.8152,0.78151,0.84135,0.67244,0.84156,0.65671,0.98466,4.12454e-05,4.12454e-05,4.12454e-05
35,17930.5,0.97058,0.91036,1.11079,0.82047,0.78488,0.84312,0.67382,0.83838,0.65158,0.98359,3.88892e-05,3.88892e-05,3.88892e-05
36,18058.5,0.9662,0.84708,1.09494,0.83139,0.78723,0.84599,0.67605,0.83568,0.6503,0.98307,3.6533e-05,3.6533e-05,3.6533e-05
37,18185.7,0.89969,0.80807,1.07764,0.82847,0.78655,0.84529,0.67749,0.83261,0.64944,0.98149,3.41768e-05,3.41768e-05,3.41768e-05
38,18316.4,0.91267,0.81443,1.07797,0.83227,0.7868,0.84584,0.6798,0.82944,0.64789,0.97916,3.18206e-05,3.18206e-05,3.18206e-05
39,18443.4,0.96591,0.86761,1.09021,0.83831,0.78913,0.8469,0.68031,0.82673,0.64406,0.97733,2.94644e-05,2.94644e-05,2.94644e-05
40,18570.9,0.94883,0.82885,1.07345,0.84377,0.78946,0.84933,0.68151,0.82398,0.64059,0.97653,2.71082e-05,2.71082e-05,2.71082e-05
41,18696.6,0.96523,0.87181,1.08732,0.83757,0.79201,0.84808,0.6807,0.8243,0.64487,0.97531,2.4752e-05,2.4752e-05,2.4752e-05
42,18822.2,0.96565,0.89989,1.08796,0.82973,0.794,0.84716,0.67764,0.82967,0.64924,0.97719,2.23958e-05,2.23958e-05,2.23958e-05
43,18947.7,0.9336,0.81601,1.05104,0.82171,0.79789,0.84715,0.6741,0.8365,0.65243,0.97901,2.00396e-05,2.00396e-05,2.00396e-05
